MPA,Category,Indicator,Score,Count,Indicator2
Galapagos marine reserve,Ecology,Target abundance/biomass in protected area,1,1,1
Galapagos marine reserve,Ecology,Target abundance/biomass outside protected area,5,1,2
Galapagos marine reserve,Ecology,Non-target abundance/biomass in protected area,3,1,3
Galapagos marine reserve,Ecology,Non-target abundance/biomass outside protected area,0,1,4
Galapagos marine reserve,Ecology,Habitat quality in protected area,0,1,5
Galapagos marine reserve,Ecology,Habitat quality outside protected area,0,1,6
Galapagos marine reserve,Economics,Total Catch,0,1,1
Galapagos marine reserve,Economics,CPUE (new 2/21),5,1,2
Galapagos marine reserve,Economics,Total Revenue,5,1,3
Galapagos marine reserve,Economics,No. vessels,5,1,4
Galapagos marine reserve,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Galapagos marine reserve,Economics,Costs,0,1,6
Galapagos marine reserve,Economics,Net Revenue,0,1,7
Galapagos marine reserve,Economics,Ex vessel price,5,1,8
Galapagos marine reserve,Economics,Wholesale prices,0,1,9
Galapagos marine reserve,Economics,Anything about processing,0,1,10
Galapagos marine reserve,Community,Employment,5,1,1
Galapagos marine reserve,Community,Working Conditions/safety,0,1,2
Galapagos marine reserve,Community,Food security,5,1,3
Galapagos marine reserve,Community,Women's involvement,3,1,4
Galapagos marine reserve,Enabling Conditions,Institutional governance capacity of management group/agency,5,1,1
Galapagos marine reserve,Enabling Conditions,Enforcement capacity,5,1,2
Galapagos marine reserve,Enabling Conditions,Fisher participation in design of spatial program,5,1,3
Galapagos marine reserve,Enabling Conditions,Fisher participation in adaptive management,5,1,4
Galapagos marine reserve,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",5,1,5
Galapagos marine reserve,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,5,1,6
Galapagos marine reserve,Enabling Conditions,Increase access to urban/export markets,5,1,7
Coral Triangle,Ecology,Target abundance/biomass in protected area,3,1,1
Coral Triangle,Ecology,Target abundance/biomass outside protected area,3,1,2
Coral Triangle,Ecology,Non-target abundance/biomass in protected area,3,1,3
Coral Triangle,Ecology,Non-target abundance/biomass outside protected area,3,1,4
Coral Triangle,Ecology,Habitat quality in protected area,3,1,5
Coral Triangle,Ecology,Habitat quality outside protected area,3,1,6
Coral Triangle,Economics,Total Catch,1,1,1
Coral Triangle,Economics,CPUE (new 2/21),0,1,2
Coral Triangle,Economics,Total Revenue,1,1,3
Coral Triangle,Economics,No. vessels,0,1,4
Coral Triangle,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Coral Triangle,Economics,Costs,0,1,6
Coral Triangle,Economics,Net Revenue,3,1,7
Coral Triangle,Economics,Ex vessel price,0,1,8
Coral Triangle,Economics,Wholesale prices,0,1,9
Coral Triangle,Economics,Anything about processing,0,1,10
Coral Triangle,Community,Employment,0,1,1
Coral Triangle,Community,Working Conditions/safety,0,1,2
Coral Triangle,Community,Food security,3,1,3
Coral Triangle,Community,Women's involvement,3,1,4
Coral Triangle,Enabling Conditions,Institutional governance capacity of management group/agency,3,1,1
Coral Triangle,Enabling Conditions,Enforcement capacity,3,1,2
Coral Triangle,Enabling Conditions,Fisher participation in design of spatial program,0,1,3
Coral Triangle,Enabling Conditions,Fisher participation in adaptive management,3,1,4
Coral Triangle,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",0,1,5
Coral Triangle,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,0,1,6
Coral Triangle,Enabling Conditions,Increase access to urban/export markets,0,1,7
Goukama,Ecology,Target abundance/biomass in protected area,5,1,1
Goukama,Ecology,Target abundance/biomass outside protected area,5,1,2
Goukama,Ecology,Non-target abundance/biomass in protected area,5,1,3
Goukama,Ecology,Non-target abundance/biomass outside protected area,5,1,4
Goukama,Ecology,Habitat quality in protected area,0,1,5
Goukama,Ecology,Habitat quality outside protected area,0,1,6
Goukama,Economics,Total Catch,0,1,1
Goukama,Economics,CPUE (new 2/21),5,1,2
Goukama,Economics,Total Revenue,0,1,3
Goukama,Economics,No. vessels,5,1,4
Goukama,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Goukama,Economics,Costs,4,1,6
Goukama,Economics,Net Revenue,0,1,7
Goukama,Economics,Ex vessel price,0,1,8
Goukama,Economics,Wholesale prices,0,1,9
Goukama,Economics,Anything about processing,0,1,10
Goukama,Community,Employment,5,1,1
Goukama,Community,Working Conditions/safety,0,1,2
Goukama,Community,Food security,0,1,3
Goukama,Community,Women's involvement,0,1,4
Goukama,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Goukama,Enabling Conditions,Enforcement capacity,,1,2
Goukama,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Goukama,Enabling Conditions,Fisher participation in adaptive management,,1,4
Goukama,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Goukama,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Goukama,Enabling Conditions,Increase access to urban/export markets,,1,7
Belize Marine Reserves,Ecology,Target abundance/biomass in protected area,5,1,1
Belize Marine Reserves,Ecology,Target abundance/biomass outside protected area,5,1,2
Belize Marine Reserves,Ecology,Non-target abundance/biomass in protected area,5,1,3
Belize Marine Reserves,Ecology,Non-target abundance/biomass outside protected area,5,1,4
Belize Marine Reserves,Ecology,Habitat quality in protected area,3,1,5
Belize Marine Reserves,Ecology,Habitat quality outside protected area,3,1,6
Belize Marine Reserves,Economics,Total Catch,1,1,1
Belize Marine Reserves,Economics,CPUE (new 2/21),4,1,2
Belize Marine Reserves,Economics,Total Revenue,3,1,3
Belize Marine Reserves,Economics,No. vessels,4,1,4
Belize Marine Reserves,Economics,Catch per vessel/fisherman (new 2/14),3,1,5
Belize Marine Reserves,Economics,Costs,0,1,6
Belize Marine Reserves,Economics,Net Revenue,0,1,7
